p_id,agent_type,sex,age,min_static_exposure,mean_static_exposure,mean_raw_diff,mean_abs_diff,max_abs_diff,mpd,mapd,non_home_hours,unique_nonhome_nontravel_hexes,num_location_changes,min_transition_distance_km,avg_transition_distance_km,max_transition_distance_km,travel_hours
2015000000253-1885801,retired,male,83.0,10.79646488225417,12.248917475370282,-0.04020411808473624,0.14262182771084425,2.232547105281345,-0.34672555496987306,1.196078316401083,22,7,19,0.9369332903949988,1.6001582362790212,3.353186547319115,0
2015000000253-1885802,retired,female,72.0,10.79646488225417,12.248917475370284,-0.1510473801394816,0.1757463492186583,3.0246426487645213,-1.2790929617530509,1.4939650405763478,17,8,15,0.936660269630524,1.7080572659102393,3.8779341770081657,0
2015000000253-1885803,student__lf_elig,male,16.0,10.79646488225417,12.248917475370288,-0.5691500788306604,0.5691500788306604,3.2146000569186413,-4.923012792362629,4.923012792362629,40,11,24,0.937103114536943,5.341327382478167,10.035720937617866,0
2015000000253-1885804,student__age10_15,male,13.0,10.79646488225417,12.248917475370282,-0.7324960410894159,0.7539558957123601,3.000528565645215,-6.06843686542062,6.253741798755623,62,7,21,0.9694780994652679,2.177681455819259,5.24900582636083,0
2015000000253-1885901,retired,male,83.0,10.79646488225417,12.248917475370293,-0.1616080185833478,0.2017799958802921,2.711011353316845,-1.3742279445931025,1.7087059788283114,22,9,20,0.9694073484335395,1.9445309636863315,6.0401601086144625,0
2015000000253-1885902,retired,female,72.0,10.79646488225417,12.248917475370272,-0.10358863108142422,0.12494664642860713,2.7000968712365054,-0.8736842067901117,1.0378854592887223,11,9,14,0.9365866049865467,1.2813112218727931,4.202901795224306,0
2015000000253-1885903,student__lf_elig,male,16.0,10.79646488225417,12.248917475370272,-0.5062263488455139,0.5121612059803453,3.237765776227171,-4.231688579317991,4.27731599174834,42,7,17,0.9398493815223414,2.793328728669888,5.24900582636083,0
2015000000253-1885904,student__age10_15,male,13.0,10.79646488225417,12.248917475370277,-0.9613570328569617,0.9613570328569617,3.0156671478496477,-7.943560455404394,7.943560455404394,72,12,23,0.939638226212071,2.189980764127505,4.976529153728712,0
2015000000253-2721501,retired,male,83.0,9.995283614279488,11.535258731144191,-0.1443906760002298,0.15953607956101407,2.656501336555875,-1.3373677661443877,1.4789017840131327,18,8,14,0.9371130530858424,8.335407505727689,48.206327518594776,0
2015000000253-2721502,retired,female,72.0,9.995283614279488,11.53525873114419,-0.017115295464934562,0.030669891863715826,1.138586097497626,-0.13910067024678927,0.2657685719114305,8,4,10,0.9371015889827037,1.4200126273869498,1.8744234709553098,0
