p_id,agent_type,sex,age,min_static_exposure,mean_static_exposure,mean_raw_diff,mean_abs_diff,max_abs_diff,mpd,mapd,non_home_hours,unique_nonhome_nontravel_hexes,num_location_changes,min_transition_distance_km,avg_transition_distance_km,max_transition_distance_km,travel_hours
2019HU0492613-1616102,worker_only,female,19.0,6.094791349250267,8.45643914356926,1.9370067393150334,2.0115686324755657,13.270054951120645,21.08400210930657,21.99148770734844,76,13,25,0.9406903532826404,21.60900318841342,53.802163299562146,0
2016000941891-2834203,student__age_under05,male,4.0,13.031487433505497,15.46659840972613,-3.003081242891469,3.003081242891469,11.776431519189755,-18.450734901940734,18.450734901940734,48,4,15,0.9725648174973481,20.44056500597952,25.963568057200874,0
2017000078845-3653401,worker_only,male,45.0,4.853818910468895,6.822033035561354,2.200350193400233,2.2011538225300424,11.658343420497994,33.494319301676065,33.506159383743864,46,12,23,0.9406831864242522,17.0378357010411,37.79096388394465,0
2019HU0937339-1993403,worker_student,male,22.0,7.67529843557945,10.738437090671923,1.871848439177663,1.9244813987409197,7.371238322233392,20.258249068160346,20.54093647438786,83,17,32,0.944333035427574,4.083286927699372,10.57712077534648,0
2015000434532-3505401,worker_only,male,54.0,4.922787646362333,7.001112132288976,1.9109399992736804,1.9124329296409583,9.447674378032298,27.37582064088227,27.397735400450884,46,9,19,0.9395284068695059,9.976272528133501,18.414126482083063,0
2017000209992-3044005,worker_only,male,34.0,4.579779132912166,6.572912819147133,2.6301878778084298,2.6301878778084298,10.533999134062164,43.129870824095676,43.129870824095676,58,11,24,0.9411667409608256,14.196978522902269,33.49578398155183,1
2015000968516-4448001,worker_student,female,38.0,4.713478931360792,5.740464604069201,3.69424557252324,3.69424557252324,14.039634978886433,65.51644208795642,65.51644208795642,59,8,22,0.9439491073737036,21.26590312637653,34.8820955748924,0
2018HU0278220-692903,worker_only,female,26.0,5.077605554673777,7.002905453795661,2.435943905295223,2.4579057065487055,10.132099414131675,35.11981984374318,35.435767244767725,52,7,18,0.9419618785519663,15.04532255356911,26.104197168805538,0
2018HU0284075-1802701,worker_only,female,65.0,5.002759035011515,6.989372417185089,1.634036773511969,1.634036773511969,10.540331272320037,23.40024291341969,23.40024291341969,44,6,16,0.9707826882282322,16.875023124751493,25.902809885639158,0
2019HU0752837-5191901,worker_only,female,41.0,4.35169087819568,6.479509705284717,3.0144986817588757,3.0144986817588757,10.244670037214604,48.739217565208335,48.739217565208335,62,5,17,0.9709838483932188,12.32773767181728,20.209045815892292,0
2018HU0461252-3980601,worker_only,male,61.0,4.7820076318445714,5.443710094266181,1.6883178593026371,1.6886194540468045,12.669329761356034,30.63054219493623,30.636629825554195,44,5,16,0.9383564019140258,33.10583266582227,52.77580269265627,8
2018HU0069070-614101,worker_only,male,32.0,5.0494028969989255,7.0165826251161105,1.8940708472469838,1.8940708472469838,10.491781178043386,26.634272553080535,26.634272553080535,42,4,16,0.939290739357816,16.40521932415392,23.077914843425336,0
2015000042948-2132601,worker_only,female,29.0,5.776269619090669,8.00234234658796,1.5790987713602194,1.6054199117241061,9.274423267983362,19.55189869623099,19.900201308953296,42,4,15,1.6692446211680116,20.937210554305675,29.172414484503552,0
2015001226810-2304702,worker_only,female,52.0,4.667354505899148,6.769352826974034,2.6032698473357865,2.6032698473357865,8.196677779544965,40.26611398711098,40.26611398711098,62,6,18,0.9403429412662379,5.509267668337169,8.985133547510285,0
2015001226810-2305403,worker_only,male,23.0,4.628416766041504,6.667467360837918,1.9467556596079039,1.9467556596079039,7.780181853663967,27.68760338157789,27.68760338157789,51,7,18,0.9404874690660714,6.881998361314718,18.000366685252757,0
2018HU0574484-277001,worker_student,female,26.0,10.823202383838272,12.886778508352776,-2.441688916597517,2.4995559777240413,6.424937065335614,-19.518416613550972,20.023484394712806,70,6,20,0.9433363965226683,22.863007796468107,34.74910031048249,0
2018HU1201710-559001,worker_student,male,39.0,5.158460252338919,6.093365946249145,2.0332916357186965,2.0332916357186965,11.07382207387303,32.60048628974442,32.60048628974442,49,6,19,0.9437668704678608,18.267258514474474,26.114736758661472,0
2018HU0953431-1157001,worker_only,male,48.0,5.327017600072934,6.19765372450864,3.065039959391271,3.0667814219466045,12.619783171381043,44.45146998372104,44.48416111947605,55,4,15,0.9725763979427003,18.014060134737438,26.104979334740733,0
2018HU0989005-1406102,worker_only,female,31.0,5.259120220407656,7.1969914198286755,2.172059702233409,2.1801021304683466,15.85528938285385,29.100513244371957,29.214371583023297,48,6,18,1.6651314365608367,20.58868964873069,42.896657083256294,0
2018HU1088118-4290401,worker_only,male,48.0,4.884843522879848,5.996164672607732,2.8338189035352834,2.8440782329667336,12.456906638709626,46.08474351851364,46.27095092130269,63,6,18,0.9415133912698407,23.027547334652116,37.40186473868143,0
2019HU1075448-2111201,worker_only,male,34.0,4.297385211883841,5.5231114730990845,2.2564250872735916,2.2564250872735916,10.885249597222568,37.594789260845246,37.594789260845246,44,5,15,0.9412450359166763,27.840126525600756,42.6517620250784,0
2019HU1118543-3985403,worker_only,female,43.0,4.990265640477142,7.211520805908639,1.7655430756156456,1.7820822521038466,8.95469238799628,25.20215084348537,25.437421788669955,49,5,18,0.9408897156214507,24.702269305657918,36.20232516387665,0
2019HU1192198-2173002,worker_only,male,30.0,6.176187447487573,8.14460023996243,1.9709385848664092,1.9908976493232502,9.004054878862483,23.57580823727032,23.833412708259267,50,4,14,1.8785505183260447,21.864919914545073,29.74611376701676,0
2019HU1238111-2665301,worker_only,male,26.0,4.8572206332903285,6.950452890046746,2.0613433790482714,2.0613433790482714,10.493714085157135,30.134899415763066,30.134899415763066,47,4,17,0.9716977836235359,15.834726727200197,23.55817545584387,0
2016000747265-1747502,worker_only,male,39.0,4.710031124424097,6.689318636065836,1.7766548746258446,1.7948540349400208,8.353007789789165,27.695651305720947,27.966796308230546,58,12,27,0.9427200784823484,11.48101978782362,29.482612823186496,0
2019HU1224433-518701,worker_student,male,29.0,5.287255636337553,6.617218731148413,2.1068358778070198,2.1068358778070198,8.291809389536922,31.853561530096325,31.853561530096325,53,6,22,0.9396089975254099,15.877945886729766,25.12757904065278,0
2015000635381-951101,worker_only,female,61.0,6.113761358653116,8.68491717368917,1.6152587148120527,1.6152587148120527,8.535358216489495,21.37952826080388,21.37952826080388,47,6,19,0.9391353969407843,7.255987225004695,13.04652452276479,0
2015000572213-3578401,worker_only,male,33.0,5.312524228906128,7.7226412656794166,1.9484602509324414,1.9484602509324414,10.79125250602281,25.385104319759584,25.385104319759584,57,9,20,0.9401691272416938,7.075378404194578,15.51349878127251,0
2017000106471-2287201,worker_only,male,47.0,5.348481731024659,6.497307741485264,1.8419819952318666,1.8586786207118984,12.069870462041742,26.46596884804735,26.75869983012295,39,7,17,0.939187196554139,17.726731512561027,37.75757527775981,0
2019HU0072851-1475904,worker_only,male,47.0,5.694538470104843,7.851529804124537,1.9620082282399207,2.0246459872514855,11.298264929702281,25.765298483120436,26.553371912047147,37,8,19,0.9391246719287979,15.158921515506462,28.19761197773165,0
2019HU0354805-1897701,worker_only,male,22.0,5.165828149436562,7.301535480900139,2.099694749207768,2.1006869026513724,10.10006990516647,30.591033235592402,30.60445418145986,42,10,20,0.9433679469924326,23.474922991179167,47.53000734845998,0
2016000836011-3575802,worker_only,female,56.0,4.795771821160537,5.940044180034481,2.3501504293936737,2.3563484235488885,13.476361164904015,39.7596993155725,39.86754804790615,50,8,20,0.9418921733319685,20.129076637384266,35.869392616640674,0
2019HU1176349-359002,worker_only,male,61.0,4.705042713153317,5.788701559414382,1.9576666267191747,1.9642505539216308,8.76430528903473,35.932737478189544,36.06142642313813,50,7,20,0.9411744178970043,20.703268124038303,33.43817505815879,0
2016000694125-1396702,worker_only,male,32.0,8.727456185863227,10.273354486254322,1.8490639161893427,1.9645535204404159,7.767895343098763,17.838277862418263,19.062519893340426,55,5,18,0.942065577975506,36.29001104769656,53.927134478115256,0
2017000669679-2556702,worker_only,male,57.0,4.583545138915961,5.435504280229033,2.3802225387368683,2.3802225387368683,12.922966974740556,40.88678999401566,40.88678999401566,38,5,17,0.9413150123344208,26.831556511476055,45.558627678129135,0
2018HU0086535-1546701,worker_only,male,42.0,6.094791349250267,8.456439143569265,1.9291991225494989,1.9594263330360877,9.493111700371946,22.399934159289188,22.768158095837425,46,8,19,1.611380328110037,15.216845535555038,30.279385317175258,0
2016000683827-2825002,worker_only,male,47.0,7.554616201069605,8.709442681758363,1.9343074215406726,1.9363875885031925,9.75208618580441,21.753707949301422,21.777827079177182,45,7,21,0.9388137072350061,19.489816342952707,40.54582017366753,0
2016001088336-1683003,worker_only,male,21.0,7.508570553985381,8.705785719625865,1.9442110446633576,1.9512376740749868,10.000275025117224,20.44081379672936,20.52133729592887,45,5,15,0.9429433527076333,42.06142273047178,63.78284986304512,0
2016001284076-2696604,worker_student,female,20.0,4.454937215321838,5.569102845170479,2.4563180305527204,2.4563180305527204,15.154887322652316,43.64587864851442,43.64587864851442,41,8,20,0.939218155784767,20.85205211363266,34.94737020293959,0
2018HU0194770-6588902,worker_only,male,40.0,4.936875244783097,7.123057528597623,1.6142905972323858,1.6212526846696271,10.34072738416847,25.244462779889492,25.347397866944316,35,6,19,0.943907174990881,16.56084062495694,25.0099628947199,0
2016000131025-435402,worker_only,male,38.0,5.672517064488844,8.00418487526318,1.6316579865953253,1.6316579865953253,8.147112538467063,19.436145583230566,19.436145583230566,49,5,16,0.9702250976443316,21.35963535350516,33.97331700585339,0
2018HU0124869-1027601,worker_only,female,59.0,10.929726766891514,13.322195869543927,-2.672316840139777,2.6810729487045166,16.60407229721258,-18.89851234171945,18.96429603942171,49,4,16,1.6102905641828875,112.91103320462463,150.31704486331628,0
2017000328282-1693701,worker_only,female,32.0,5.811641238571708,7.953536243350829,1.8270767724189219,1.941245453806144,9.309340722727606,23.080604724221867,24.558451048980608,56,7,21,0.940762592125028,12.593298076689663,25.45158551051316,0
2017001102821-2556502,worker_only,female,43.0,5.459302277441382,7.566235691175096,1.838530094000005,1.8388815359931714,7.771118147222094,24.319621293970094,24.324318849897995,64,5,16,0.9432189786907108,21.7538985516927,34.02394607400072,0
2015000583695-4418701,worker_only,female,64.0,5.442052129432009,6.526431582507401,3.105854227790059,3.138850284416494,20.339138078239067,46.16410956891305,46.705736747251706,48,3,14,0.9447451594953482,26.78627503548733,36.81687388197554,0
2017001288871-4715902,worker_only,female,55.0,4.713478931360792,5.740464604069203,1.7560772468245855,1.7560772468245855,9.080607160275921,30.421026123686072,30.421026123686072,43,5,15,1.889043837569749,26.75696060543996,36.863604992530234,0
2019HU1344055-2089401,worker_only,female,29.0,5.9957301569317725,7.298497901435946,1.6461302802539177,1.6769722461433407,8.057754487674263,22.336915942531895,22.765091621171013,62,15,28,0.9395879276504323,11.680049032087178,30.32592998314579,0
2019HU1332371-4367502,worker_only,female,28.0,5.0349853955914385,6.114206479308534,2.1861191758680056,2.201288612346488,9.605151255908481,33.37666222397798,33.643193925467024,53,5,18,0.9712103324025513,18.20273296892171,25.850094385753103,0
2015001093248-1008601,worker_only,male,56.0,8.131687383067717,9.408810207512415,2.056723398310672,2.081371162038102,8.45546374116449,19.681050666618003,19.964719306245808,54,8,21,0.9361066351382976,20.378811065626934,42.69893145573847,0
2018HU0353892-3290002,worker_only,male,44.0,5.224260298390771,7.545813334766006,2.7170526622702806,2.718214399693153,10.70693299342096,37.94475228854353,37.960219084495,52,5,17,0.9436656360243776,17.501911887364326,28.5055549426948,0
2015000065419-3089606,worker_only,male,28.0,4.567856273788444,6.528108785196743,2.48932166415373,2.5132280098386666,10.862795286624417,36.578146920917625,36.949187377532226,50,4,14,0.9433489359044733,12.025960623262643,18.43228375337096,0
2018HU1398180-1641201,worker_only,female,24.0,6.490738024658661,8.551365153440981,1.9296556919150396,1.93274909875046,16.409813449011125,21.361458930091736,21.403585468341056,53,5,17,0.9747979090325654,9.333823634445551,15.42459593906224,0
2015000996240-1246701,worker_student,male,36.0,4.912449805869047,5.952206359829326,2.026825747635768,2.029671231373133,10.996925344265886,35.44071609548369,35.49102419219938,38,7,19,0.9393106859294909,21.26319982412671,40.51211615840574,0
2019HU0209121-2367604,worker_student,male,32.0,5.556682355179703,7.6043249594543525,1.7865308442979466,1.7865308442979466,10.687826561188047,24.057462460801172,24.057462460801172,53,7,22,0.9461084338956214,22.486425578364326,35.19136316929716,0
2016001124375-1230501,worker_only,female,26.0,6.363221709965735,7.567726815908164,2.26533327465264,2.3050566912599955,9.89119368905101,27.70968957146352,28.302117228290598,55,6,18,0.9419249311232158,21.32805761128902,37.24681687849699,0
2018HU0714410-1296101,worker_only,male,51.0,6.0078820894361575,8.224064992437869,1.8212781512563858,1.8216461633707213,9.815410612220393,22.426262486652142,22.43072231563381,37,5,16,0.9708786780282459,12.847782109469687,20.294777906019668,0
