p_id,agent_type,sex,age,day,date,day_hour,tick,activity,h3_act,dynamic_exposure,h3_home,static_exposure
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,00-01,0,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,01-02,1,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,02-03,2,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,03-04,3,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,04-05,4,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,05-06,5,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,06-07,6,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,07-08,7,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,08-09,8,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,09-10,9,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,10-11,10,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,11-12,11,errands,8826969893fffff,13.533380519132898,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,12-13,12,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,13-14,13,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,14-15,14,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,15-16,15,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,16-17,16,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,17-18,17,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,18-19,18,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,19-20,19,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,20-21,20,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,21-22,21,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,22-23,22,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,mon,2016-07-25,23-24,23,home,8826969897fffff,15.243469690516557,8826969897fffff,15.243469690516557
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,00-01,24,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,01-02,25,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,02-03,26,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,03-04,27,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,04-05,28,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,05-06,29,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,06-07,30,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,07-08,31,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,08-09,32,exercise,8826969893fffff,9.506684734166676,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,09-10,33,exercise,8826969893fffff,9.506684734166676,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,10-11,34,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,11-12,35,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,12-13,36,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,13-14,37,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,14-15,38,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,15-16,39,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,16-17,40,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,17-18,41,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,18-19,42,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,19-20,43,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,20-21,44,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,21-22,45,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,22-23,46,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,tue,2016-07-26,23-24,47,home,8826969897fffff,11.494731755952465,8826969897fffff,11.494731755952465
2015000000253-1885801,retired,male,83.0,wed,2016-07-27,00-01,48,home,8826969897fffff,10.79646488225417,8826969897fffff,10.79646488225417
2015000000253-1885801,retired,male,83.0,wed,2016-07-27,01-02,49,home,8826969897fffff,10.79646488225417,8826969897fffff,10.79646488225417
2015000000253-1885801,retired,male,83.0,wed,2016-07-27,02-03,50,home,8826969897fffff,10.79646488225417,8826969897fffff,10.79646488225417
2015000000253-1885801,retired,male,83.0,wed,2016-07-27,03-04,51,home,8826969897fffff,10.79646488225417,8826969897fffff,10.79646488225417
2015000000253-1885801,retired,male,83.0,wed,2016-07-27,04-05,52,home,8826969897fffff,10.79646488225417,8826969897fffff,10.79646488225417
2015000000253-1885801,retired,male,83.0,wed,2016-07-27,05-06,53,home,8826969897fffff,10.79646488225417,8826969897fffff,10.79646488225417
2015000000253-1885801,retired,male,83.0,wed,2016-07-27,06-07,54,home,8826969897fffff,10.79646488225417,8826969897fffff,10.79646488225417
2015000000253-1885801,retired,male,83.0,wed,2016-07-27,07-08,55,home,8826969897fffff,10.79646488225417,8826969897fffff,10.79646488225417
2015000000253-1885801,retired,male,83.0,wed,2016-07-27,08-09,56,leisure,882696989bfffff,8.700941809839858,8826969897fffff,10.79646488225417
2015000000253-1885801,retired,male,83.0,wed,2016-07-27,09-10,57,leisure,882696989bfffff,8.700941809839858,8826969897fffff,10.79646488225417
2015000000253-1885801,retired,male,83.0,wed,2016-07-27,10-11,58,home,8826969897fffff,10.79646488225417,8826969897fffff,10.79646488225417
