p_id,agent_type,sex,age,day,day_hour,tick,act,h3_cell,grade,wfh,homeschool_virtual
2015000000253-1885801,retired,male,83.0,mon,00-01,0,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,01-02,1,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,02-03,2,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,03-04,3,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,04-05,4,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,05-06,5,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,06-07,6,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,07-08,7,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,08-09,8,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,09-10,9,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,10-11,10,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,11-12,11,errands,8826969893fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,12-13,12,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,13-14,13,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,14-15,14,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,15-16,15,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,16-17,16,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,17-18,17,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,18-19,18,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,19-20,19,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,20-21,20,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,21-22,21,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,22-23,22,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,mon,23-24,23,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,00-01,24,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,01-02,25,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,02-03,26,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,03-04,27,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,04-05,28,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,05-06,29,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,06-07,30,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,07-08,31,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,08-09,32,exercise,8826969893fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,09-10,33,exercise,8826969893fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,10-11,34,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,11-12,35,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,12-13,36,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,13-14,37,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,14-15,38,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,15-16,39,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,16-17,40,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,17-18,41,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,18-19,42,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,19-20,43,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,20-21,44,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,21-22,45,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,22-23,46,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,tue,23-24,47,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,00-01,48,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,01-02,49,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,02-03,50,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,03-04,51,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,04-05,52,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,05-06,53,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,06-07,54,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,07-08,55,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,08-09,56,leisure,882696989bfffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,09-10,57,leisure,882696989bfffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,10-11,58,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,11-12,59,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,12-13,60,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,13-14,61,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,14-15,62,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,15-16,63,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,16-17,64,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,17-18,65,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,18-19,66,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,19-20,67,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,20-21,68,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,21-22,69,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,22-23,70,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,wed,23-24,71,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,00-01,72,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,01-02,73,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,02-03,74,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,03-04,75,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,04-05,76,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,05-06,77,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,06-07,78,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,07-08,79,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,08-09,80,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,09-10,81,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,10-11,82,change_transp,8826968147fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,11-12,83,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,12-13,84,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,13-14,85,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,14-15,86,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,15-16,87,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,16-17,88,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,17-18,89,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,18-19,90,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,19-20,91,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,20-21,92,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,21-22,93,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,22-23,94,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,thu,23-24,95,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,00-01,96,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,01-02,97,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,02-03,98,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,03-04,99,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,04-05,100,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,05-06,101,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,06-07,102,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,07-08,103,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,08-09,104,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,09-10,105,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,10-11,106,retail,8826969893fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,11-12,107,childcare,8826968161fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,12-13,108,childcare,8826968161fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,13-14,109,childcare,8826968161fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,14-15,110,childcare,8826968161fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,15-16,111,childcare,8826968161fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,16-17,112,childcare,8826968161fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,17-18,113,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,18-19,114,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,19-20,115,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,20-21,116,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,21-22,117,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,22-23,118,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,fri,23-24,119,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,sat,00-01,120,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,sat,01-02,121,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,sat,02-03,122,home,8826969897fffff,,False,False
2015000000253-1885801,retired,male,83.0,sat,03-04,123,home,8826969897fffff,,False,False
