p_id,act,h3_cell,day,week_hour,interval,sex,age,nhts_role,up_role,naics,occat,grade,wfh,homeschool_virtual,travmode,nhts_travmode
2015000000253-1885801,home,8826969897fffff,1,0,04-05,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,1,05-06,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,retail,8826968161fffff,1,2,06-07,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,childcare,8826968167fffff,1,3,07-08,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,childcare,8826968167fffff,1,4,08-09,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,5,09-10,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,6,10-11,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,7,11-12,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,8,12-13,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,9,13-14,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,10,14-15,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,11,15-16,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,12,16-17,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,13,17-18,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,14,18-19,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,15,19-20,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,16,20-21,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,17,21-22,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,18,22-23,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,19,23-24,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,20,24-25,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,21,25-26,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,22,26-27,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,1,23,27-28,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,2,24,04-05,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,2,25,05-06,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,2,26,06-07,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,2,27,07-08,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,2,28,08-09,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,2,29,09-10,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,2,30,10-11,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,errands,8826969893fffff,2,31,11-12,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
2015000000253-1885801,home,8826969897fffff,2,32,12-13,male,83.0,retired,nope,,,,False,False,car_truck_van,CAR
