p_id,act,week_hour,interval,day_block,original_day_position,sorting_position,sex,age
2015000000253-1885801,home,20,24-25,0.0,20,0,male,83.0
2015000000253-1885801,home,21,25-26,0.0,21,1,male,83.0
2015000000253-1885801,home,22,26-27,0.0,22,2,male,83.0
2015000000253-1885801,home,23,27-28,0.0,23,3,male,83.0
2015000000253-1885801,home,0,04-05,0.0,0,4,male,83.0
2015000000253-1885801,home,1,05-06,0.0,1,5,male,83.0
2015000000253-1885801,retail,2,06-07,0.0,2,6,male,83.0
2015000000253-1885801,childcare,3,07-08,0.0,3,7,male,83.0
2015000000253-1885801,childcare,4,08-09,0.0,4,8,male,83.0
2015000000253-1885801,home,5,09-10,0.0,5,9,male,83.0
2015000000253-1885801,home,6,10-11,0.0,6,10,male,83.0
2015000000253-1885801,home,7,11-12,0.0,7,11,male,83.0
2015000000253-1885801,home,8,12-13,0.0,8,12,male,83.0
2015000000253-1885801,home,9,13-14,0.0,9,13,male,83.0
2015000000253-1885801,home,10,14-15,0.0,10,14,male,83.0
2015000000253-1885801,home,11,15-16,0.0,11,15,male,83.0
2015000000253-1885801,home,12,16-17,0.0,12,16,male,83.0
2015000000253-1885801,home,13,17-18,0.0,13,17,male,83.0
2015000000253-1885801,home,14,18-19,0.0,14,18,male,83.0
2015000000253-1885801,home,15,19-20,0.0,15,19,male,83.0
2015000000253-1885801,home,16,20-21,0.0,16,20,male,83.0
2015000000253-1885801,home,17,21-22,0.0,17,21,male,83.0
2015000000253-1885801,home,18,22-23,0.0,18,22,male,83.0
2015000000253-1885801,home,19,23-24,0.0,19,23,male,83.0
2015000000253-1885801,home,44,24-25,1.0,20,0,male,83.0
2015000000253-1885801,home,45,25-26,1.0,21,1,male,83.0
2015000000253-1885801,home,46,26-27,1.0,22,2,male,83.0
2015000000253-1885801,home,47,27-28,1.0,23,3,male,83.0
2015000000253-1885801,home,24,04-05,1.0,0,4,male,83.0
2015000000253-1885801,home,25,05-06,1.0,1,5,male,83.0
2015000000253-1885801,home,26,06-07,1.0,2,6,male,83.0
2015000000253-1885801,home,27,07-08,1.0,3,7,male,83.0
2015000000253-1885801,home,28,08-09,1.0,4,8,male,83.0
2015000000253-1885801,home,29,09-10,1.0,5,9,male,83.0
2015000000253-1885801,home,30,10-11,1.0,6,10,male,83.0
2015000000253-1885801,errands,31,11-12,1.0,7,11,male,83.0
2015000000253-1885801,home,32,12-13,1.0,8,12,male,83.0
2015000000253-1885801,home,33,13-14,1.0,9,13,male,83.0
2015000000253-1885801,home,34,14-15,1.0,10,14,male,83.0
2015000000253-1885801,home,35,15-16,1.0,11,15,male,83.0
2015000000253-1885801,home,36,16-17,1.0,12,16,male,83.0
2015000000253-1885801,home,37,17-18,1.0,13,17,male,83.0
2015000000253-1885801,home,38,18-19,1.0,14,18,male,83.0
2015000000253-1885801,home,39,19-20,1.0,15,19,male,83.0
2015000000253-1885801,home,40,20-21,1.0,16,20,male,83.0
2015000000253-1885801,home,41,21-22,1.0,17,21,male,83.0
2015000000253-1885801,home,42,22-23,1.0,18,22,male,83.0
2015000000253-1885801,home,43,23-24,1.0,19,23,male,83.0
2015000000253-1885801,home,68,24-25,2.0,20,0,male,83.0
2015000000253-1885801,home,69,25-26,2.0,21,1,male,83.0
2015000000253-1885801,home,70,26-27,2.0,22,2,male,83.0
2015000000253-1885801,home,71,27-28,2.0,23,3,male,83.0
2015000000253-1885801,home,48,04-05,2.0,0,4,male,83.0
2015000000253-1885801,home,49,05-06,2.0,1,5,male,83.0
2015000000253-1885801,home,50,06-07,2.0,2,6,male,83.0
2015000000253-1885801,home,51,07-08,2.0,3,7,male,83.0
