p_id,agent_type,place,agent_mape
2019HU0768180-4190901,wrk_only,unknown,38.77238664747888
2016001466521-4265601,wrk_only,unknown,36.48301636860352
2015001207114-4251302,wrk_only,hinckley,34.55384684576251
2016000567063-4039202,wrk_only,oak_city,34.19474948214158
2018HU0435392-4105201,wrk_only,delta,33.83183847782517
2016000442736-4327201,wrk_only,unknown,33.63350731092443
2019HU1289095-4069002,wrk_only,woods_cross,33.345308140106475
2019HU0645171-5402301,wrk__student,vineyard,33.30716373487598
2018HU1070831-4066602,wrk_only,oak_city,33.28644865299774
2015000381445-108601,wrk_only,beaver,33.267269468992964
2019HU0219206-4235902,wrk_only,delta,33.24366324510518
2018HU0580622-4559002,wrk_only,fillmore,32.469511001076704
2017000423418-4218702,wrk_only,delta,32.440407322322265
2019HU1120979-5435203,wrk_only,vineyard,32.4241909823544
2019HU0791505-4573202,wrk_only,fillmore,32.40694554002376
2019HU0768180-4190201,wrk_only,delta,32.3925115745592
2016000119586-4298302,wrk_only,deseret,32.10690876085088
2017000359008-167601,wrk_only,farmington,32.07806684479788
2018HU1103795-297901,wrk_only,kaysville,32.00933004182392
2019HU1338284-4360801,wrk_only,unknown,31.91582103298171
2018HU0846036-4349701,wrk_only,unknown,31.835451281125493
2019HU0763012-4058303,wrk__student,woods_cross,31.703143480959927
2018HU0435392-4063601,wrk_only,oak_city,31.571546246107218
2019HU1092472-5433402,wrk_only,vineyard,31.536257865691653
2018HU1103795-296701,wrk_only,farmington,31.529281682063793
2019HU0638748-248901,wrk_only,minersville,31.519352595865374
2017000424957-4049301,wrk_only,lynndyl,31.457146521400116
2017000454646-3971302,wrk_only,west_bountiful,31.450894287182702
2018HU0296892-256003,wrk__student,farmington,31.421609264633467
2015001148749-4620702,wrk_only,south_salt_lake,31.404667967926986
2018HU0423565-1371102,wrk_only,west_bountiful,31.21222923099477
2017000359008-167501,wrk_only,farmington,31.10380026282255
2016000928857-4041202,wrk_only,leamington,31.04614866087702
2018HU1135850-1385401,wrk__student,west_bountiful,31.024713774106033
2018HU0129707-4162204,wrk_only,delta,30.95323609427421
2017000897247-5263102,wrk__student,vineyard,30.924352781202348
2019HU1173594-4077602,wrk_only,oak_city,30.877777055025952
2017001178773-4499203,wrk_only,fillmore,30.825952378808413
2018HU1220889-4392101,wrk_only,holden,30.792581586652858
2018HU0423045-3860203,wrk__student,west_bountiful,30.783109274506504
2019HU1092472-5434602,wrk_only,vineyard,30.677772204751736
2016000680452-189102,wrk_only,unknown,30.64567826494624
2019HU0768180-4189301,wrk_only,delta,30.465846818782556
2015000802359-4471501,wrk_only,fillmore,30.397836998680116
2019HU1092472-5433901,wrk_only,vineyard,30.33825021665266
2018HU0986450-4025902,wrk__student,west_bountiful,30.203803392756758
2019HU0626736-5400704,wrk__student,vineyard,30.15343936821794
2015000073410-4361403,wrk_only,holden,30.15132281677203
2017000918050-3986103,wrk_only,west_bountiful,30.145192902235628
2019HU0737808-5406002,wrk_only,vineyard,30.145167219596065
2019HU0177304-4312502,wrk_only,oasis,30.094618447049516
2018HU0457963-4347804,wrk_only,unknown,30.09457448260881
2018HU1350664-4352402,wrk_only,unknown,30.026859580308052
2019HU1289095-390202,wrk_only,farmington,30.00275544284164
2017001238656-4139802,wrk_only,woods_cross,29.999155077228924
2017000897247-5262502,wrk__student,vineyard,29.953714929522445
2019HU0145525-4043003,wrk_only,west_bountiful,29.930111712643992
2017000939853-281602,wrk_only,milford,29.92166977596902
2019HU0768180-4188101,wrk_only,delta,29.85303551938756
2019HU0219206-4313302,wrk_only,unknown,29.819224636307823
2019HU1339729-5448901,wrk_only,vineyard,29.816012771541477
2019HU0677212-5403102,wrk_only,vineyard,29.759643502397427
2019HU0491146-208501,wrk_only,minersville,29.652661991298796
2018HU0936141-296701,wrk_only,milford,29.629165919232797
2018HU0856313-286201,wrk_only,kaysville,29.57672569142991
2018HU0423045-958903,wrk__student,west_bountiful,29.561763139889095
2017001238643-4308501,wrk_only,unknown,29.534747727285616
2018HU0192412-2583303,wrk__student,lehi,29.510966312590252
2019HU0365346-341203,wrk_only,farmington,29.45797072828619
2018HU1090046-295002,wrk_only,farmington,29.44140437931628
2017001317685-4275001,wrk_only,delta,29.42940925188423
2018HU0161595-5289603,wrk__student,vineyard,29.406264440384543
2015001248742-4474401,wrk_only,fillmore,29.3171944443762
2019HU0553820-349602,wrk_only,kaysville,29.27616059128396
2018HU0161595-5289803,wrk__student,vineyard,29.26970845791694
2015000802359-253501,wrk_only,milford,29.26088967971147
2019HU0145525-4043103,wrk_only,west_bountiful,29.24549417068894
2016000638359-4039501,wrk_only,lynndyl,29.140243456943875
2018HU1355505-4036901,wrk_only,west_bountiful,29.084147848068596
2015001226151-5170403,wrk__student,vineyard,29.08268702628777
2019HU0374120-4048901,wrk_only,woods_cross,29.06360327805689
2017001289700-4308602,wrk_only,unknown,29.0442247653661
2019HU0929577-5423302,wrk_only,vineyard,29.02324363487595
2016001042407-3951801,wrk__student,west_bountiful,29.00677241520752
2016001226591-3007501,wrk_only,nephi,28.994328116535872
2017000707285-5259803,wrk__student,vineyard,28.992625136712142
2019HU0090447-2873602,wrk_only,saratoga_springs,28.967620700309045
2017000526137-4124701,wrk_only,woods_cross,28.918160694048606
2015001039276-53903,wrk__student,farmington,28.90289713591841
2015001039276-55003,wrk__student,kaysville,28.889077773705797
2018HU1245293-301501,wrk_only,kaysville,28.86552332440868
2019HU0662799-2800003,wrk__student,lehi,28.8262264727548
2018HU0387622-290901,wrk_only,milford,28.80307983082963
2019HU0094162-124801,wrk__student,unknown,28.688801912701283
2019HU0392665-4183501,wrk__student,delta,28.66850735835896
2017000677567-181001,wrk_only,kaysville,28.66425180545714
2019HU0768180-4187201,wrk_only,delta,28.638450688504975
2018HU0927076-4172601,wrk_only,delta,28.628273911941598
2019HU0367448-4048303,wrk__student,west_bountiful,28.62768736630622
2018HU0495770-4386001,wrk_only,scipio,28.585525598404427
2019HU0701547-770301,wrk_only,thatcher,28.57951975944243
2019HU1259782-380801,wrk_only,farmington,28.557973746433458
2019HU0730488-4120602,wrk_only,delta,28.554033972332494
2017001340279-5281302,wrk__student,vineyard,28.53765714175737
2015000066364-447301,wrk_only,payson,28.50901417716859
2019HU1133154-5435502,wrk_only,vineyard,28.468464945396715
2019HU0094684-4069902,wrk_only,lynndyl,28.454436698109753
2019HU0560195-766402,wrk__student,thatcher,28.42130371518176
2019HU0355918-2361402,wrk__student,syracuse,28.40070008416352
2015001125729-4321502,wrk_only,unknown,28.396163240828425
2019HU0111851-4041301,wrk__student,west_bountiful,28.388695313351793
2016001042407-3951701,wrk__student,west_bountiful,28.369059590443108
2018HU0423045-3860103,wrk__student,west_bountiful,28.36363342845882
2015000007489-4593202,wrk_only,vernal,28.358118930828063
2018HU0097742-4060301,wrk_only,leamington,28.316501596968873
2019HU0054459-5365802,wrk__student,vineyard,28.303969342369644
2017000334905-164602,wrk_only,kaysville,28.285261445712823
2018HU0300747-256601,wrk_only,farmington,28.264398369824384
2015000968418-254702,wrk_only,milford,28.23088079812372
2019HU1156016-5439101,wrk_only,vineyard,28.228368849947426
2019HU1330852-5444801,wrk_only,vineyard,28.2229648417262
2019HU1020528-370502,wrk_only,farmington,28.21795202298336
2018HU0427142-5300901,wrk__student,vineyard,28.207637989727246
2019HU1312456-5444002,wrk_only,vineyard,28.188260405575683
2019HU1090508-5431702,wrk__student,vineyard,28.18541398481597
2018HU0751439-5317001,wrk_only,vineyard,28.18209506000839
2019HU0496224-4071901,wrk_only,unknown,28.171677797410215
2018HU0423045-959503,wrk__student,west_bountiful,28.164635305375196
2019HU0111851-4041103,wrk_only,west_bountiful,28.138795268800315
2018HU0296892-3857603,wrk__student,west_bountiful,28.13723833531933
2019HU0757598-362401,wrk_only,farmington,28.113910549712084
2017001320730-4275202,wrk_only,hinckley,28.108725434718096
2019HU0852048-4061402,wrk_only,woods_cross,28.10039596924236
2018HU0434490-2767202,wrk_only,american_fork,28.074117379174506
2019HU0035453-327703,wrk_only,farmington,28.06974456729028
2019HU0177304-4312402,wrk_only,deseret,28.063911311722094
2019HU0768180-4190101,wrk_only,delta,28.058123895366478
2017001340279-5281402,wrk__student,vineyard,28.052783851763536
2018HU0096517-246601,wrk_only,kaysville,28.036111697664378
2019HU0365346-340203,wrk_only,farmington,28.026121710621965
2015001076383-1471102,wrk_only,unknown,28.025396110325552
2019HU0365346-341101,wrk_only,farmington,28.00288971769755
2016001466521-4265703,wrk_only,unknown,27.994574577788374
2018HU0273999-954201,wrk_only,west_bountiful,27.990895608120205
2019HU0092716-4161102,wrk_only,woods_cross,27.979798933096987
2016000998348-2220702,wrk_only,bountiful,27.9771702955165
2018HU0127999-247302,wrk_only,kaysville,27.953440382850946
2017001066627-3433502,wrk__student,north_salt_lake,27.946446690585642
2015001017507-5166504,wrk__student,vineyard,27.93939248704297
2019HU1092472-5434902,wrk_only,vineyard,27.902229631622493
2017000897247-5263802,wrk__student,vineyard,27.89525320653563
2019HU0035453-327803,wrk_only,kaysville,27.8705388309015
2018HU0595461-4017601,wrk_only,west_bountiful,27.86210939460873
2015001334917-3278302,wrk_only,rocky_ridge,27.857792039740286
2015001426445-4195603,wrk__student,woods_cross,27.84729891015889
2019HU0391844-2794304,wrk__student,lehi,27.84257918120858
2017000729294-4218202,wrk_only,woods_cross,27.831200477439694
2018HU0018917-4145104,wrk_only,woods_cross,27.822498713683743
2018HU1271306-4158801,wrk_only,woods_cross,27.82082502465853
2017001198004-3997001,wrk_only,woods_cross,27.815052524119743
2015001307736-4134005,wrk_only,delta,27.789856202695212
2019HU1084011-2610002,wrk_only,saratoga_springs,27.784515316890403
2015000802359-253302,wrk_only,milford,27.77916464852746
2019HU0214647-4070601,wrk_only,leamington,27.763379713927755
2017001105577-4273204,wrk__student,hinckley,27.761613931323296
2017001340279-5281104,wrk__student,vineyard,27.753444999605986
2019HU1272927-43701,wrk_only,unknown,27.71483167984381
2017000897247-5262302,wrk__student,vineyard,27.71173618606631
2018HU0286473-255001,wrk_only,farmington,27.69569648530127
2019HU0343133-4237102,wrk_only,delta,27.686423242797808
2019HU0645171-5402201,wrk__student,vineyard,27.68587909034902
2019HU1289095-388702,wrk_only,farmington,27.671608425457933
2019HU0145525-4043203,wrk_only,west_bountiful,27.65051055619735
2019HU0111851-1392003,wrk_only,west_bountiful,27.649061578473095
2016001169419-4302102,wrk_only,hinckley,27.63477240132862
2017000897247-5262501,wrk__student,vineyard,27.60045478560461
2018HU1129452-2677901,wrk_only,lehi,27.598947551960734
2018HU0851672-964903,wrk__student,west_bountiful,27.590485733463073
2017000765950-2867502,wrk_only,orem,27.582356510604505
2018HU1131366-4390801,wrk_only,holden,27.577723339363015
2017001307147-2604501,wrk_only,bountiful,27.560817171597506
2018HU0991931-4027301,wrk__student,west_bountiful,27.55488900432087
2018HU0855233-4024002,wrk_only,west_bountiful,27.532960890054447
2019HU0111851-4041001,wrk__student,west_bountiful,27.504599088471565
2019HU1295285-3783402,wrk_only,provo,27.50358197435293
2016001037329-4209701,wrk_only,delta,27.48361436830716
2019HU1400212-4073201,wrk_only,west_bountiful,27.479795456365512
2018HU0423045-3860303,wrk__student,west_bountiful,27.460540197577355
2019HU0920462-5418901,wrk_only,vineyard,27.455707766589406
2018HU1103795-297201,wrk_only,kaysville,27.44878275636931
2019HU1084011-2609901,wrk_only,saratoga_springs,27.44653407059557
2015001383780-493902,wrk_only,springville,27.442747052428402
2019HU1172775-4293301,wrk_only,woods_cross,27.41156822096845
2019HU1047693-3891501,wrk_only,west_bountiful,27.408275407540955
2019HU0139055-3236701,wrk_only,woods_cross,27.371526570655842
2017001166966-200603,wrk__student,farmington,27.36435332603418
2019HU0824831-4060403,wrk__student,woods_cross,27.352046491214537
2018HU0866523-4066003,wrk_only,unknown,27.334316003252283
2018HU0423045-958703,wrk__student,west_bountiful,27.236144299005225
2019HU0849658-3115701,wrk_only,orem,27.22355705795408
2018HU0334877-4278402,wrk_only,hinckley,27.208841651279897
2019HU0591380-350101,wrk_only,kaysville,27.18710525095161
2017000015592-4303301,wrk_only,unknown,27.187039187347615
2015001307084-3819603,wrk__student,west_bountiful,27.175867900951562
2019HU0215970-4070702,wrk_only,unknown,27.171947816972292
2019HU0184469-2788902,wrk__student,american_fork,27.16450192586099
2019HU1315467-777304,wrk_only,unknown,27.161344997892144
