p_id,agent_type,place,agent_mape
2016000563846-105602,wrk_only,unknown,3061.394586774297
2016000531101-3234401,wrk_only,unknown,881.525294534066
2018HU1021420-3251902,wrk_only,unknown,532.632994290338
2018HU1021420-3251903,wrk_only,unknown,484.3489517459788
2018HU1021420-3251907,wrk_only,unknown,463.63736558269534
2018HU0495770-3247601,wrk_only,unknown,438.25444005289614
2016000531101-3234402,wrk_only,unknown,426.35542834909234
2016000688912-3235002,wrk_only,unknown,425.41025976202224
2018HU1021420-3251908,wrk_only,unknown,406.7685270792549
2015000931212-3227501,wrk_only,unknown,397.83981114021145
2017000252905-3239801,wrk_only,unknown,376.82389131779746
2018HU1143041-3253401,wrk_only,unknown,357.29399911012484
2018HU0495770-3247602,wrk_only,unknown,350.7898940572873
2018HU1350963-3254902,wrk_only,unknown,349.4572618686167
2016000688912-3235004,childcare,unknown,349.0059560307069
2016000688912-3235001,wrk_only,unknown,341.66948151591396
2015000931212-3227502,student__age10_15,unknown,316.60276113364074
2018HU0831674-3250201,wrk_only,unknown,286.1746062372948
2019HU0094684-3256502,wrk_only,unknown,253.69309446014108
2016001256228-3237801,wrk_only,unknown,252.0272015343483
2018HU0495770-3247603,student__age10_15,unknown,249.516214260401
2019HU0094684-3256501,wrk__student,unknown,249.3298662055023
2018HU1350963-3254906,wrk__student,unknown,231.2690961783857
2018HU1053082-3252101,wrk_only,unknown,231.23664288310667
2019HU0287516-3258301,wrk_only,unknown,229.06634409121475
2018HU0831674-3250101,wrk_only,unknown,219.26538523419322
2017000622767-3241604,student__age10_15,unknown,215.55218142829338
2016000688912-3235003,student__age_under05,unknown,215.48375222653257
2018HU1021420-3251906,student__age10_15,unknown,208.39502864499596
2018HU1021420-3251905,student__lf_elig,unknown,205.08523737060833
2016000578816-3234605,student__age05_09,unknown,203.9949467707438
2018HU0831674-3250203,student__age10_15,unknown,202.92870528176482
2019HU0094684-3256503,childcare,unknown,202.15312246330805
2018HU1053082-3252102,wrk_only,unknown,196.15486369898397
2017001289602-3244405,student__age10_15,unknown,194.7387347008523
2015001209420-3229101,wrk_only,unknown,193.77130354775372
2016000578816-3234604,student__age05_09,unknown,192.89865067261312
2018HU0831674-3249901,wrk_only,unknown,190.58551411716158
2018HU0831674-3250202,student__age10_15,unknown,189.61338715701822
2018HU0831674-3249903,student__age10_15,unknown,185.9600697797664
2017001289602-3244406,student__age10_15,unknown,185.2964531385794
2017001289602-3244404,student__lf_elig,unknown,178.83876858470325
2016000705817-3235106,student__age05_09,unknown,177.39802436173247
2019HU0577622-4355901,wrk_only,unknown,176.35564085246608
