health_outcome,rr10,agent_group,num_agents,num_agent_days,mean_af_dynamic,mean_af_static,af_ratio_dynamic_static,percent_difference_vs_static
Asthma emergency room visits,1.043,Full Population,3108832,21761824,0.03883507510557142,0.03875837787922613,1.0019788554253815,0.1978855425381454
Asthma emergency room visits,1.043,High-Difference,35565,248955,0.03860860328928331,0.031318604982596726,1.2327689343359172,23.276893433591717
Asthma hospital admissions,1.014,Full Population,3108832,21761824,0.013010113378800574,0.012985320181659056,1.0019093250528037,0.1909325052803723
Asthma hospital admissions,1.014,High-Difference,35565,248955,0.012933347406255097,0.010465742149888706,1.235779290281161,23.577929028116106
Cardiovascular hospital admissions,1.01,Full Population,3108832,21761824,0.009330219703094026,0.009312532342865346,1.0018993072536528,0.18993072536528377
Cardiovascular hospital admissions,1.01,High-Difference,35565,248955,0.00927507402968939,0.00750287028749444,1.236203436056839,23.620343605683903
Respiratory hospital admissions,1.0135,Full Population,3108832,21761824,0.012551735449143443,0.012527831361231563,1.0019080786787928,0.1908078678792835
Respiratory hospital admissions,1.0135,High-Difference,35565,248955,0.012477658592492344,0.010096563851203156,1.2358321877007141,23.58321877007141
Overall mortality,1.0065,Full Population,3108832,21761824,0.006086008833063832,0.006074525227280081,1.0018904532212953,0.18904532212953296
Overall mortality,1.0065,High-Difference,35565,248955,0.006049984286576965,0.004892527757458804,1.2365763847437725,23.65763847437725
