
Travel exposure interpolation started: 2026-08-24 13:12:00

Creating agent index...
Unique agents: 3,087,477

Creating empty SimulationResults_ImputedTravel table...
SimulationResults_ImputedTravel structure successfully created.

Processing agents in batches of 25,000...
Processed agents 1 - 25,000 of 3,087,477 | Batch runtime: 00:00:32
Processed agents 25,001 - 50,000 of 3,087,477 | Batch runtime: 00:00:32
Processed agents 50,001 - 75,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 75,001 - 100,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 100,001 - 125,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 125,001 - 150,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 150,001 - 175,000 of 3,087,477 | Batch runtime: 00:00:26
Processed agents 175,001 - 200,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 200,001 - 225,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 225,001 - 250,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 250,001 - 275,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 275,001 - 300,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 300,001 - 325,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 325,001 - 350,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 350,001 - 375,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 375,001 - 400,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 400,001 - 425,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 425,001 - 450,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 450,001 - 475,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 475,001 - 500,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 500,001 - 525,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 525,001 - 550,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 550,001 - 575,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 575,001 - 600,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 600,001 - 625,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 625,001 - 650,000 of 3,087,477 | Batch runtime: 00:00:22
Processed agents 650,001 - 675,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 675,001 - 700,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 700,001 - 725,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 725,001 - 750,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 750,001 - 775,000 of 3,087,477 | Batch runtime: 00:00:22
Processed agents 775,001 - 800,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 800,001 - 825,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 825,001 - 850,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 850,001 - 875,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 875,001 - 900,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 900,001 - 925,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 925,001 - 950,000 of 3,087,477 | Batch runtime: 00:00:20
Processed agents 950,001 - 975,000 of 3,087,477 | Batch runtime: 00:00:21
Processed agents 975,001 - 1,000,000 of 3,087,477 | Batch runtime: 00:00:20
