agent_type,agent_count,high_difference_count,mpd_p05,mpd_p25,mpd_median,mpd_p75,mpd_p95,mapd_p05,mapd_p25,mapd_median,mapd_p75,mapd_p95,mean_abs_diff_p05,mean_abs_diff_p25,mean_abs_diff_median,mean_abs_diff_p75,mean_abs_diff_p95,non_home_hours_p05,non_home_hours_p25,non_home_hours_median,non_home_hours_p75,non_home_hours_p95,avg_transition_distance_km_p05,avg_transition_distance_km_p25,avg_transition_distance_km_median,avg_transition_distance_km_p75,avg_transition_distance_km_p95,unique_nonhome_nontravel_hexes_p05,unique_nonhome_nontravel_hexes_p25,unique_nonhome_nontravel_hexes_median,unique_nonhome_nontravel_hexes_p75,unique_nonhome_nontravel_hexes_p95,num_location_changes_p05,num_location_changes_p25,num_location_changes_median,num_location_changes_p75,num_location_changes_p95,share_of_high_difference_group_pct,high_difference_within_type_pct,type_order
worker_only,1265034,31733,-7.7036521750330635,-1.918159496155229,0.07054746129577258,3.208772205581485,16.056394981540418,0.1470870188423509,1.3833218533037455,3.0683362744142633,6.273652250769089,16.684550774082574,0.01254829554773804,0.12361364518170743,0.28102302977793436,0.6007431434285347,1.484842524205357,4.0,28.0,38.0,47.0,61.0,1.431134235292974,4.079574756610439,8.251026601355177,14.596620203016961,32.20630181614379,2.0,4.0,6.0,7.0,11.0,4.0,14.0,17.0,19.0,24.0,89.22536201321525,2.508470128075609,0.0
worker_student,230005,2904,-6.315152159580823,-1.5186134539583271,0.1397839184719841,2.414156497906899,10.425492506943568,0.3831168176091145,1.1296455380896018,2.328614806853206,4.643930150199193,11.920476152092444,0.03482254198064423,0.10334830136572769,0.21625157696665825,0.4594627231709417,1.195115528794651,11.0,31.0,37.0,45.0,59.0,1.2949767217835992,2.1263933250124305,4.279545239397562,8.368916577234053,23.462728721572738,3.0,5.0,6.0,7.0,9.0,12.0,17.0,19.0,20.0,24.0,8.16533108393083,1.262581248233734,1.0
student__lf_elig,141856,408,-5.979753126037526,-1.7670841716478893,0.11715603052074126,2.378586186249713,8.073570679464133,0.5707902203013636,1.4174431106857104,2.551842935569941,4.562251035613983,9.575960133960404,0.04985101984727454,0.12757169757875378,0.23374193547700428,0.4320206689366562,1.0129240474754098,21.0,43.0,50.0,59.0,74.0,1.2760838629114142,1.8572717504659413,2.9195867663119497,4.991802564874946,10.703198613803483,3.0,5.0,7.0,9.0,11.0,13.0,18.0,20.0,22.0,26.0,1.1471952762547448,0.28761561019625537,5.0
student__age10_15,310637,210,-5.126679168280195,-1.645442350996928,0.018930155780251007,1.780757685869384,5.869687651771012,0.5008575716231226,1.3017853987619752,2.277348907504157,3.7770003924626274,7.443272708122344,0.04327229761423192,0.1160286858893371,0.2086364094110448,0.3573147582383417,0.7671059789928377,15.0,44.0,53.0,60.0,67.0,1.2890111358422534,1.752072946240552,2.276471645018735,3.135844957813048,6.722132607541868,4.0,5.0,7.0,9.0,11.0,13.0,17.0,19.0,21.0,25.0,0.5904681568958245,0.06760302217701046,4.0
student__age05_09,254310,204,-4.907184086319732,-1.5571952139769407,0.01613737135632707,1.6910348498009329,5.508429237961344,0.4402890572711376,1.202429300003667,2.1364497008579653,3.571592617112098,7.188811108093064,0.038294364173545634,0.10757949391043846,0.19644902394908026,0.3415182877623885,0.7624280242370766,13.0,43.0,49.0,55.0,64.0,1.2507619698399788,1.6932037023829625,2.195972356933889,3.0017849772626324,5.942103223053411,4.0,5.0,7.0,8.0,11.0,12.0,16.0,18.0,21.0,25.0,0.5735976381273724,0.08021705792143446,3.0
student__age_under05,43122,93,-6.687151580329354,-1.978186738895246,-0.061748659892756644,1.790485557731534,6.548357623467713,0.3717233100953148,1.1997797595877961,2.349137361678416,4.300558399296522,9.36020649142872,0.03123670723036815,0.10577903126435761,0.21352119896299082,0.4094919081802648,1.0409321640839695,12.0,37.0,43.0,49.0,61.0,1.2414965358094197,1.8958866943960273,3.1021066556626495,5.604239447936667,13.10353465595298,3.0,4.0,5.0,8.0,12.0,11.0,14.0,17.0,20.0,26.0,0.261493040911008,0.215667176847085,2.0
childcare,73687,13,-5.652511035240687,-1.926324852424244,-0.15063655919705887,1.3977103284589534,4.897036854598611,0.4460314292634445,1.128703407382221,2.070425880014443,3.5819565358387515,7.2234500490909,0.037300095704614476,0.10049459815014258,0.18903301242283513,0.3413252011170125,0.8669845394951495,26.0,38.0,43.0,49.0,60.0,1.1997935418794028,1.8421924392648292,2.7830986791249708,4.326023436275113,9.238113318132132,2.0,4.0,5.0,7.0,11.0,11.0,14.0,16.0,19.0,25.0,0.036552790664979615,0.017642189259978014,6.0
youth__age_under05,135503,0,-1.3734234793196518,-0.36322881579661226,0.004890902843731488,0.3501603977430864,1.2962759081485293,0.16418560208897062,0.3474171993017835,0.5781460250729765,0.9887406792226153,2.1743382189687077,0.013994621271119759,0.03063141085145285,0.05252104238748732,0.09381287949382439,0.22347790789377375,7.0,10.0,14.0,21.0,36.0,1.1972175603634458,1.444386474874102,1.6144419235425647,1.797860745429933,2.2097564059584895,3.0,5.0,6.0,7.0,11.0,8.0,11.0,13.0,15.0,23.0,0.0,0.0,7.0
youth__age05_09,8879,0,-2.623667737942084,-0.6470041164014735,0.03396574243436676,0.6737552993481486,2.6367637487859983,0.2935064919783279,0.6642437976499209,1.2088855273387984,2.061909861341916,4.194777289501617,0.023321159505917812,0.05627475072073108,0.10649310688984007,0.18761147262182315,0.41729696976337355,10.0,18.0,29.0,41.0,56.0,1.2791932442697402,1.5278679635142058,1.71377482504617,1.9278416883806153,2.575816594882307,4.0,6.0,8.0,11.0,16.0,10.0,14.0,18.0,24.0,30.0,0.0,0.0,8.0
youth__age10_15,4765,0,-2.890032847287397,-0.8526550059033436,-0.044085906810839945,0.7916859950804137,2.804766866005541,0.39619738190437004,0.8805492835428504,1.4415094456765365,2.2865950612369494,4.361259810615861,0.03201257878665143,0.076947509691844,0.12511960179033343,0.2085100228904549,0.4313521000917843,15.0,25.0,34.0,45.0,61.0,1.2422492593685148,1.5217768432495444,1.7287820340072444,1.9636582099418418,2.7079307561152315,4.0,7.0,9.0,12.0,17.0,11.0,16.0,20.0,26.0,31.0,0.0,0.0,9.0
unemp__seeking_work,39488,0,-1.7501649189421686,-0.4958497473813239,-0.014474292444155816,0.44762525524370544,1.6012173132112104,0.2434812027502893,0.5049379637211502,0.8179755765421899,1.328772001314196,2.6610782858370037,0.019313344528094023,0.04190487098271117,0.07131012942620368,0.1217107703997094,0.26533480585386887,9.0,14.0,19.0,26.0,43.0,1.2572620758709967,1.5585184286274447,1.8076813046400797,2.250106732600206,8.367619059627334,4.0,6.0,7.0,9.0,13.0,9.0,12.0,15.0,18.0,27.0,0.0,0.0,10.0
retired,325912,0,-1.5836559301814257,-0.41962274690922857,0.00700280047410062,0.4392805398859469,1.7278872772893406,0.10757906287119247,0.36519323842943524,0.7010926792967132,1.232005627503295,2.719465953746024,0.009006872591851288,0.031024565866536957,0.060503502528597666,0.11051525756334812,0.255938963267341,4.0,10.0,15.0,22.0,44.0,1.1864022078552525,1.554807135010051,1.8391110643114503,2.566872785239429,10.76015368598736,2.0,4.0,6.0,8.0,13.0,6.0,9.0,12.0,16.0,27.0,0.0,0.0,11.0
